Issuer,RIC,Exchange,TRBC Sector,GICS Sector,Market Cap (USD),Price to Book Ratio,% Price Change Year To Date,% Price Change Relative to Index YTD,% Price Change Relative to Sector YTD,% Price Change 1Y
Epiroc AB,EPIRa.ST,OMX Nordic Exchange Stockholm AB - cash,Heavy Machinery & Vehicles (NEC),"Industrials, Capital Goods, Machinery, Construction Machinery & Heavy Transportation Equipment",29490599824,6.790147,13.959028,13.800138,6.668749,14.067716
AP Moeller - Maersk A/S,MAERSKb.CO,OMX Nordic Exchange Copenhagen A/S,Marine Freight & Logistics (NEC),"Industrials, Transportation, Marine Transportation",40039040659,0.731906,14.89071,31.824665,10.588969,37.812372
Skandinaviska Enskilda Banken AB,SEBa.ST,OMX Nordic Exchange Stockholm AB - cash,Banks (NEC),"Financials, Banks, Diversified Banks",39457394136,1.622533,-6.253203,-6.383912,--,6.771745
Alfa Laval AB,ALFA.ST,OMX Nordic Exchange Stockholm AB - cash,Industrial Machinery & Equipment (NEC),"Industrials, Capital Goods, Machinery, Industrial Machinery & Supplies & Components",22883540571,5.171386,12.604681,12.447679,5.401043,15.608466
Danske Bank A/S,DANSKE.CO,OMX Nordic Exchange Copenhagen A/S,Banks (NEC),"Financials, Banks, Diversified Banks",40392289539,1.459243,-0.627746,14.018914,--,34.437367
Bank Mandiri (Persero) Tbk PT,BMRI.JK,Indonesia Stock Exchange (formerly Jakarta SE),Banks (NEC),"Financials, Banks, Diversified Banks",25993485340,1.494124,-6.862745,12.838468,5.134403,0.21097
Wartsila Oyj Abp,WRT1V.HE,OMX Nordic Exchange Helsinki Oy,Industrial Machinery & Equipment (NEC),"Industrials, Capital Goods, Machinery, Industrial Machinery & Supplies & Components",21508283677,6.546377,4.736842,0.724023,7.132887,81.942857
Metso Oyj,METSO.HE,OMX Nordic Exchange Helsinki Oy,Heavy Machinery & Vehicles (NEC),"Industrials, Capital Goods, Machinery, Construction Machinery & Heavy Transportation Equipment",14625915559,4.812836,3.170895,-0.781928,5.531116,43.101852
Hexagon AB,HEXAb.ST,OMX Nordic Exchange Stockholm AB - cash,Electronic Equipment & Parts (NEC),"Information Technology, Technology Hardware & Equipment, Electronic Equipment, Instruments & Components, Electronic Equipment & Instruments",27673516827,2.171957,-7.762557,-7.891161,3.726017,-11.403509
Novozymes A/S,NSISb.CO,OMX Nordic Exchange Copenhagen A/S,Industrial Biotechnology Chemicals,"Materials, Chemicals, Specialty Chemicals",22638120865,1.82679,-12.359,0.55857,11.683592,-12.744141
Essity AB (publ),ESSITYb.ST,OMX Nordic Exchange Stockholm AB - cash,Personal Products (NEC),"Consumer Staples, Household & Personal Products, Household Products",19213918024,2.125502,-0.980392,-1.118453,9.793867,-12.291249
UPM-Kymmene Oyj,UPM.HE,OMX Nordic Exchange Helsinki Oy,Paper Products (NEC),"Materials, Paper & Forest Products, Paper Products",15766458646,1.380808,5.566761,1.522145,4.112606,-4.139194
Alinma Bank SJSC,1150.SE,Saudi Arabian Stock Exchange,Islamic Banks,"Financials, Banks, Diversified Banks",18935053167,1.47281,16.57096,12.262874,--,-2.504288
Telia Company AB,TELIA.ST,OMX Nordic Exchange Stockholm AB - cash,Integrated Telecommunications Services (NEC),"Communication Services, Telecommunication Services, Diversified Telecommunication Services, Integrated Telecommunication Services",19561328317,3.342069,19.654647,19.487816,--,31.253482
Evolution AB (publ),EVOG.ST,OMX Nordic Exchange Stockholm AB - cash,Casinos & Gaming (NEC),"Consumer Discretionary, Consumer Services, Hotels, Restaurants & Leisure, Casinos & Gaming",12878452442,2.840263,-5.271515,-5.403592,--,-24.823589
Genmab A/S,GMAB.CO,OMX Nordic Exchange Copenhagen A/S,Bio Therapeutic Drugs,"Health Care, Pharmaceuticals, Biotechnology & Life Sciences, Biotechnology",16713551598,2.858483,-16.00888,-3.629273,7.032438,24.542794
Bank Rakyat Indonesia (Persero) Tbk PT,BBRI.JK,Indonesia Stock Exchange (formerly Jakarta SE),Banks (NEC),"Financials, Banks, Diversified Banks",31190546323,1.6253,-4.098361,16.1876,8.254872,-7.631579
Great Eastern Holdings Ltd,GELA.SI,Singapore Exchange Securities Trading Ltd,Life & Health Insurance (NEC),"Financials, Insurance, Life & Health Insurance",11659928578,1.716563,3.008502,-1.162237,1.872882,--
Industrias Penoles SAB de CV,PEOLES.MX,Bolsa Mexicana de Valores S.A. de C.V.,Diversified Mining,"Materials, Metals & Mining, Precious Metals & Minerals",20140971871,4.711169,-3.974692,-5.93563,--,129.677631
Saudi Arabian Mining Company SJSC,1211.SE,Saudi Arabian Stock Exchange,Diversified Mining,"Materials, Metals & Mining, Diversified Metals & Mining",71457569403,4.35326,13.125513,8.94476,--,57.6
H & M Hennes & Mauritz AB,HMb.ST,OMX Nordic Exchange Stockholm AB - cash,Apparel & Accessories Retailers (NEC),"Consumer Discretionary, Consumer Discretionary Distribution & Retail, Specialty Retail, Apparel Retail",26871502057,5.516048,-2.904788,-3.040165,-0.648839,35.307346
ENKA Insaat ve Sanayi AS,ENKAI.IS,BORSA ISTANBUL,Construction & Engineering (NEC),"Industrials, Capital Goods, Construction & Engineering",12712669683,1.505559,20.005149,3.219095,1.009985,76.790922
Sanlam Ltd,SLMJ.J,Johannesburg Stock Exchange,Life & Health Insurance (NEC),"Financials, Insurance, Life & Health Insurance",11703596748,1.950231,-8.620164,-7.89813,-6.894764,8.303249
Fortum Oyj,FORTUM.HE,OMX Nordic Exchange Helsinki Oy,Electric Utilities (NEC),"Utilities, Electric Utilities",21520902549,2.207697,15.566557,11.138815,0.00031,39.374866
Telkom Indonesia (Persero) Tbk PT,TLKM.JK,Indonesia Stock Exchange (formerly Jakarta SE),Integrated Telecommunications Services (NEC),"Communication Services, Telecommunication Services, Diversified Telecommunication Services, Integrated Telecommunication Services",17424624418,2.070564,-14.655172,3.397718,21.387725,22.222222
Tele2 AB,TEL2b.ST,OMX Nordic Exchange Stockholm AB - cash,Wireless Telecoms Service Providers,"Communication Services, Telecommunication Services, Wireless Telecommunication Services",13979556126,6.010001,23.616952,23.444597,--,48.100775
Saudi Telecom Company SJSC,7010.SE,Saudi Arabian Stock Exchange,Integrated Telecommunications Services (NEC),"Communication Services, Telecommunication Services, Diversified Telecommunication Services, Integrated Telecommunication Services",56365429203,2.535559,-1.582131,-5.219337,--,0.506171
Carlsberg A/S,CARLb.CO,OMX Nordic Exchange Copenhagen A/S,Brewers (NEC),"Consumer Staples, Food, Beverage & Tobacco, Beverages, Brewers",18259545213,4.205284,5.531609,21.086109,1.972664,-0.899483
Telenor ASA,TEL.OL,Oslo Stock Exchange,Wireless Telecommunications Services (NEC),"Communication Services, Telecommunication Services, Diversified Telecommunication Services, Integrated Telecommunication Services",24087064982,3.099104,17.109748,-0.377614,--,15.924426
SKF AB,SKFb.ST,OMX Nordic Exchange Stockholm AB - cash,Industrial Machinery & Equipment (NEC),"Industrials, Capital Goods, Machinery, Industrial Machinery & Supplies & Components",10716088403,1.8951,-9.316517,-9.442955,-15.117795,-1.762891
Coloplast A/S,COLOb.CO,OMX Nordic Exchange Copenhagen A/S,Medical Supplies,"Health Care, Health Care Equipment & Services, Health Care Equipment & Supplies, Health Care Supplies",14369190807,5.833239,-18.118594,-6.049942,-0.006399,-38.442488
Oersted A/S,ORSTED.CO,OMX Nordic Exchange Copenhagen A/S,Electric Utilities (NEC),"Utilities, Independent Power and Renewable Electricity Producers, Renewable Electricity",29573930466,1.616762,19.738455,37.386928,--,-17.70729
Mowi ASA,MOWI.OL,Oslo Stock Exchange,Seafood Product Preparation & Packaging,"Consumer Staples, Food, Beverage & Tobacco, Food Products, Packaged Foods & Meats",11940041365,2.392771,-9.128289,-22.697668,--,11.335013
Saudi Awwal Bank SJSC,1060.SE,Saudi Arabian Stock Exchange,Banks (NEC),"Financials, Banks, Diversified Banks",19199183418,0.908021,8.276714,4.275157,--,-0.820368
Vodacom Group Ltd,VODJ.J,Johannesburg Stock Exchange,Wireless Telecommunications Services (NEC),"Communication Services, Telecommunication Services, Wireless Telecommunication Services",17909103982,3.296989,3.326021,4.142448,-2.806448,28.213909
Orkla ASA,ORK.OL,Oslo Stock Exchange,Frozen Food Manufacturing,"Consumer Staples, Food, Beverage & Tobacco, Food Products, Packaged Foods & Meats",12169402035,2.472103,5.422222,-10.319905,--,10.531221
YPF SA,YPFDm.BA,Bolsa de Comercio de Buenos Aires,Oil & Gas Refining and Marketing (NEC),"Energy, Oil, Gas & Consumable Fuels, Integrated Oil & Gas",15833225040,1.409678,2.97619,--,--,34.913017
Skanska AB,SKAb.ST,OMX Nordic Exchange Stockholm AB - cash,Construction & Engineering (NEC),"Industrials, Capital Goods, Construction & Engineering",10863606604,1.66612,1.862862,1.720837,--,6.418219
Tryg A/S,TRYG.CO,OMX Nordic Exchange Copenhagen A/S,Insurance - Automobile,"Financials, Insurance, Property & Casualty Insurance",14413741884,2.380996,-7.327327,6.33187,1.813353,-3.138732
Orion Oyj,ORNBV.HE,OMX Nordic Exchange Helsinki Oy,Pharmaceuticals (NEC),"Health Care, Pharmaceuticals, Biotechnology & Life Sciences, Pharmaceuticals",11187907600,7.63081,9.112333,4.931874,-0.10656,27.197802
Banque Saudi Fransi SJSC,1050.SE,Saudi Arabian Stock Exchange,Banks (NEC),"Financials, Banks, Diversified Banks",12745516083,0.944049,13.73365,9.530423,--,13.329384
Elm Company SJSC,7203.SE,Saudi Arabian Stock Exchange,IT Services & Consulting (NEC),"Information Technology, Software & Services, IT Services, IT Consulting & Other Services",11544919116,11.962898,-27.606952,-30.282365,--,-42.085561
Riyad Bank SJSC,1010.SE,Saudi Arabian Stock Exchange,Banks (NEC),"Financials, Banks, Diversified Banks",22802014764,1.133523,5.084746,1.201154,--,-4.134454
Bank Albilad SJSC,1140.SE,Saudi Arabian Stock Exchange,Islamic Banks,"Financials, Banks, Diversified Banks",10489566399,1.843049,5.721193,1.81408,--,-15.12665
Acwa Power Company SJSC,2082.SE,Saudi Arabian Stock Exchange,Multiline Utilities,"Utilities, Independent Power and Renewable Electricity Producers, Independent Power Producers & Energy Traders",34236017233,4.426007,-7.810781,-11.217796,--,-48.990405
Etihad Etisalat Company SJSC,7020.SE,Saudi Arabian Stock Exchange,Wireless Telecoms Service Providers,"Communication Services, Telecommunication Services, Wireless Telecommunication Services",13625776190,2.515201,0.606061,-3.112014,--,12.542373
Swedish Orphan Biovitrum AB (publ),SOBIV.ST,OMX Nordic Exchange Stockholm AB - cash,Biopharmaceuticals,"Health Care, Pharmaceuticals, Biotechnology & Life Sciences, Biotechnology",14067390108,3.307439,12.019231,11.863045,9.731171,30.167598
Arca Continental SAB de CV,AC.MX,Bolsa Mexicana de Valores S.A. de C.V.,Non-Alcoholic Beverages (NEC),"Consumer Staples, Food, Beverage & Tobacco, Beverages, Soft Drinks & Non-alcoholic Beverages",18650675196,2.428327,1.108374,-0.956365,--,-7.122319
Astra International Tbk PT,ASII.JK,Indonesia Stock Exchange (formerly Jakarta SE),Consumer Goods Conglomerates,"Industrials, Capital Goods, Industrial Conglomerates",13966046611,1.03019,-13.059701,5.330677,--,23.150106
Almarai Company SJSC,2280.SE,Saudi Arabian Stock Exchange,Food Processing (NEC),"Consumer Staples, Food, Beverage & Tobacco, Food Products, Packaged Foods & Meats",11459638088,2.094753,-0.601017,-4.274482,--,-20.37037
Investment AB Latour,LATOb.ST,OMX Nordic Exchange Stockholm AB - cash,Investment Holding Companies (NEC),"Industrials, Capital Goods, Industrial Conglomerates",12661939874,2.748828,-10.159716,-10.284978,-8.916903,-28.646934
Industrivarden AB,INDUa.ST,OMX Nordic Exchange Stockholm AB - cash,Investment Holding Companies (NEC),"Financials, Financial Services, Multi-Sector Holdings",21856648600,1.085751,15.599422,15.438245,17.198576,25.444096
Lifco AB (publ),LIFCOb.ST,OMX Nordic Exchange Stockholm AB - cash,Consumer Goods Conglomerates,"Industrials, Capital Goods, Industrial Conglomerates",13039331650,6.764854,-17.215909,-17.331333,-4.260085,-17.497169
Gjensidige Forsikring ASA,GJFG.OL,Oslo Stock Exchange,Multiline Insurance & Brokers (NEC),"Financials, Insurance, Multi-line Insurance",13709437790,4.726729,-11.390728,-24.622269,--,11.129568
Dian Swastatika Sentosa Tbk PT,DSSA.JK,Indonesia Stock Exchange (formerly Jakarta SE),Coal (NEC),"Energy, Oil, Gas & Consumable Fuels, Coal & Consumable Fuels",30541435603,18.988235,-33.737624,-19.721222,--,69.002525
Dr Sulaiman Al Habib Medical Services Group Company SJSC,4013.SE,Saudi Arabian Stock Exchange,Healthcare Facilities & Services (NEC),"Health Care, Health Care Equipment & Services, Health Care Providers & Services, Health Care Facilities",23123151133,10.980526,-3.540856,-7.105674,--,-7.361734
Arab National Bank SJSC,1080.SE,Saudi Arabian Stock Exchange,Banks (NEC),"Financials, Banks, Diversified Banks",11065213335,0.839084,-3.977798,-7.526468,--,-4.066543
Vantage Towers AG,VTWRn.H,Hamburg Stock Exchange,Telecommunication Construction,"Communication Services, Telecommunication Services, Diversified Telecommunication Services, Integrated Telecommunication Services",22172199695,--,3.225806,7.818103,16.776473,2.4
Amman Mineral Internasional Tbk PT,AMMN.JK,Indonesia Stock Exchange (formerly Jakarta SE),Copper Ore Mining,"Materials, Metals & Mining, Copper",21259412342,4.120167,-22.957198,-6.660426,-13.033201,-23.255814
Saudi Energy Company Sjsc,5110.SE,Saudi Arabian Stock Exchange,Electric Utilities (NEC),"Utilities, Electric Utilities",16300828079,0.237367,4.483986,0.622596,--,-7.088608
Michael Anthony Holdings Inc,MAJJ.PK,US 'Other OTC' and Grey Market,Investment Holding Companies (NEC),"Consumer Discretionary, Consumer Durables & Apparel, Textiles, Apparel & Luxury Goods, Apparel, Accessories & Luxury Goods",11011133760,--,--,0,--,--
Grupo Bimbo SAB de CV,BIMBOA.MX,Bolsa Mexicana de Valores S.A. de C.V.,Bread & Bakery Product Manufacturing,"Consumer Staples, Food, Beverage & Tobacco, Food Products, Packaged Foods & Meats",14252371699,2.030282,0.473613,-1.578164,--,7.608696
Grupo Financiero Inbursa SAB de CV,GFINBURO.MX,Bolsa Mexicana de Valores S.A. de C.V.,Corporate Banks,"Financials, Banks, Diversified Banks",14440071600,0.998847,-1.560707,-3.570941,--,-8.060021
Chandra Asri Pacific PT Tbk,TPIA.JK,Indonesia Stock Exchange (formerly Jakarta SE),Commodity Chemicals (NEC),"Materials, Chemicals, Commodity Chemicals",27923477687,10.601325,-22.142857,-5.673828,--,-22.142857
Barito Renewables Energy PT Tbk,BREN.JK,Indonesia Stock Exchange (formerly Jakarta SE),Geothermal Electric Utilities,"Utilities, Independent Power and Renewable Electricity Producers, Renewable Electricity",49917274859,96.577568,-35.051546,-21.313077,-7.622463,3.703704
Grupo Carso SAB de CV,GCARSOA1.MX,Bolsa Mexicana de Valores S.A. de C.V.,Consumer Goods Conglomerates,"Industrials, Capital Goods, Industrial Conglomerates",15120386145,1.905797,2.094285,0.009412,--,3.427246
Taiwan Semiconductor Manufacturing Co Ltd,2330.TW,Taiwan Stock Exchange,Integrated Circuits,"Information Technology, Semiconductors & Semiconductor Equipment, Semiconductors",1516403029775,8.923942,20.322581,4.339572,1.024442,93.264249
Nanya Technology Corp,2408.TW,Taiwan Stock Exchange,Semiconductors (NEC),"Information Technology, Semiconductors & Semiconductor Equipment, Semiconductors",23122638702,4.3279,23.316062,6.935416,3.537809,472.115385
Winbond Electronics Corp,2344.TW,Taiwan Stock Exchange,Semiconductors (NEC),"Information Technology, Semiconductors & Semiconductor Equipment, Semiconductors",15379068822,4.544361,31.961259,14.432231,10.796431,426.570048
Delta Electronics Inc,2308.TW,Taiwan Stock Exchange,Electrical Components & Equipment (NEC),"Information Technology, Technology Hardware & Equipment, Electronic Equipment, Instruments & Components, Electronic Components",112798567463,13.420968,43.821391,24.716926,20.754357,256.499356
MediaTek Inc,2454.TW,Taiwan Stock Exchange,Integrated Circuits,"Information Technology, Semiconductors & Semiconductor Equipment, Semiconductors",86496374829,6.886442,20.27972,4.302405,0.988456,23.741007
Hon Hai Precision Industry Co Ltd,2317.TW,Taiwan Stock Exchange,Electronic Components,"Information Technology, Technology Hardware & Equipment, Electronic Equipment, Instruments & Components, Electronic Manufacturing Services",93915021071,1.820644,-6.941432,-19.302835,-21.866786,27.678571
Gold Circuit Electronics Ltd,2368.TW,Taiwan Stock Exchange,Integrated Circuits,"Information Technology, Technology Hardware & Equipment, Electronic Equipment, Instruments & Components, Electronic Components",14966621748,22.39775,36.098981,18.02032,14.270518,330.875576
Elite Material Co Ltd,2383.TW,Taiwan Stock Exchange,Integrated Circuits,"Information Technology, Technology Hardware & Equipment, Electronic Equipment, Instruments & Components, Electronic Components",30389998537,19.210166,64.43769,42.594666,38.064076,366.37931
Cboe Global Markets Inc,CBOE.K,Cboe Consolidated,Financial & Commodity Market Operators & Service Providers (NEC),"Financials, Financial Services, Capital Markets, Financial Exchanges & Data",30343165070,5.905293,15.498008,19.212751,--,34.755729
Asia Vital Components Co Ltd,3017.TW,Taiwan Stock Exchange,Computer Hardware (NEC),"Information Technology, Technology Hardware & Equipment, Technology Hardware, Storage & Peripherals",22846908252,16.33782,23.509934,7.103534,3.700586,229.5053
Jentech Precision Industrial Co Ltd,3653.TW,Taiwan Stock Exchange,Semiconductors (NEC),"Information Technology, Semiconductors & Semiconductor Equipment, Semiconductors",14739553176,32.496175,18.214936,2.511896,-0.745164,167.078189
Unimicron Technology Corp,3037.TW,Taiwan Stock Exchange,Integrated Circuits,"Information Technology, Technology Hardware & Equipment, Electronic Equipment, Instruments & Components, Electronic Components",25094683892,7.958391,130.909091,100.236361,93.87435,377.438516
Nan Ya Plastics Corp,1303.TW,Taiwan Stock Exchange,Commodity Chemicals (NEC),"Materials, Chemicals, Commodity Chemicals",20763265902,1.861926,38.704319,20.279579,8.065801,159.31677
Qnb Bank AS,QNBTR.IS,BORSA ISTANBUL,Banks (NEC),"Financials, Banks, Diversified Banks",33472850678,8.558209,-2.183449,-15.865811,-10.827253,57.729188
Bayan Resources Tbk PT,BYAN.JK,Indonesia Stock Exchange (formerly Jakarta SE),Coal (NEC),"Energy, Oil, Gas & Consumable Fuels, Coal & Consumable Fuels",25565098504,9.941187,-17.515924,-0.068165,--,-35.491905
Accton Technology Corp,2345.TW,Taiwan Stock Exchange,Network Equipment,"Information Technology, Technology Hardware & Equipment, Communications Equipment",24982360749,21.934018,19.831224,3.913484,0.611892,118.461538
ASE Technology Holding Co Ltd,3711.TW,Taiwan Stock Exchange,Semiconductor Equipment & Testing (NEC),"Information Technology, Semiconductors & Semiconductor Equipment, Semiconductors",47615873535,4.377806,36.327345,18.218349,34.865052,116.825397
Emaar Properties PJSC,EMAR.DU,Dubai Financial Market,"Real Estate Rental, Development & Operations (NEC)","Real Estate, Real Estate Management & Development, Real Estate Development",26951932019,1.050027,-20.284698,-11.164627,--,-16.41791
King Yuan Electronics Co Ltd,2449.TW,Taiwan Stock Exchange,Semiconductor Testing Equipment & Service,"Information Technology, Semiconductors & Semiconductor Equipment, Semiconductors",11328813153,7.164903,19.393939,3.534287,0.244742,194.029851
Wiwynn Corp,6669.TW,Taiwan Stock Exchange,Servers & Systems,"Information Technology, Technology Hardware & Equipment, Technology Hardware, Storage & Peripherals",23715182146,6.067832,-9.253066,-21.307404,-22.299321,108.184143
HonPrecision Inc,7769.TW,Taiwan Stock Exchange,Semiconductor Testing Equipment & Service,"Information Technology, Semiconductors & Semiconductor Equipment, Semiconductor Materials & Equipment",22283924876,51.757452,15.328467,0.00885,--,322.008547
Yageo Corp,2327.TW,Taiwan Stock Exchange,Electronic Components,"Information Technology, Technology Hardware & Equipment, Electronic Equipment, Instruments & Components, Electronic Components",16768833685,3.33305,11.688312,-3.147767,-6.225005,98.080614
PTT Exploration and Production PCL,PTTEP.BK,The Stock Exchange of Thailand,Oil & Gas Exploration and Production (NEC),"Energy, Oil, Gas & Consumable Fuels, Oil & Gas Exploration & Production",18084666078,1.119964,29.646018,15.876964,12.631649,35.023041
DCI Indonesia Tbk PT,DCII.JK,Indonesia Stock Exchange (formerly Jakarta SE),IT Services & Consulting (NEC),"Information Technology, Software & Services, IT Services, Internet Services & Infrastructure",28348011650,122.830775,0.4,21.637493,--,-11.209374
Delta Electronics Thailand PCL,DELTA.BK,The Stock Exchange of Thailand,Electrical Components & Equipment (NEC),"Information Technology, Technology Hardware & Equipment, Electronic Equipment, Instruments & Components, Electronic Components",98906191408,32.884574,47.398844,31.744351,1.189194,264.285714
Evergreen Marine Corp Taiwan Ltd,2603.TW,Taiwan Stock Exchange,Deep Sea Freight,"Industrials, Transportation, Marine Transportation",14085609257,0.774124,9.210526,-5.296416,8.243689,-9.978308
Sejahteraraya Anugrahjaya Tbk PT,SRAJ.JK,Indonesia Stock Exchange (formerly Jakarta SE),Healthcare Facilities & Services (NEC),"Health Care, Health Care Equipment & Services, Health Care Providers & Services, Health Care Facilities",10926995667,100.725609,-8.636364,10.689678,--,505.421687
Quanta Computer Inc,2382.TW,Taiwan Stock Exchange,Laptop & Desktop Computers,"Information Technology, Technology Hardware & Equipment, Technology Hardware, Storage & Peripherals",35000292464,4.582942,6.25,-7.863682,-9.025058,12.23301
United Microelectronics Corp,2303.TW,Taiwan Stock Exchange,Semiconductors (NEC),"Information Technology, Semiconductors & Semiconductor Equipment, Semiconductors",23465925090,1.970734,20.812183,4.764138,1.435518,36.155606
Wistron Corp,3231.TW,Taiwan Stock Exchange,Computer Hardware (NEC),"Information Technology, Technology Hardware & Equipment, Technology Hardware, Storage & Peripherals",13362238712,3.209454,-10.963455,-22.790594,-23.763816,28.846154
Asustek Computer Inc,2357.TW,Taiwan Stock Exchange,Computer Hardware (NEC),"Information Technology, Technology Hardware & Equipment, Technology Hardware, Storage & Peripherals",13716868530,1.630603,7.481752,-6.79555,-9.756889,-3.125
PTT PCL,PTT.BK,The Stock Exchange of Thailand,Integrated Oil & Gas,"Energy, Oil, Gas & Consumable Fuels, Integrated Oil & Gas",30419235745,0.867716,7.03125,-4.336003,-7.015222,25.688073
Aldar Properties PJSC,ALDAR.AD,Abu Dhabi Stock Exchange,"Real Estate Rental, Development & Operations (NEC)","Real Estate, Real Estate Management & Development, Diversified Real Estate Activities",15883667752,1.370696,-14.712644,-10.101257,--,-14.020857
Chroma ATE Inc,2360.TW,Taiwan Stock Exchange,Electrical Measuring & Testing Instruments,"Information Technology, Technology Hardware & Equipment, Electronic Equipment, Instruments & Components, Electronic Equipment & Instruments",20399635833,20.397249,97.419355,71.195223,65.755921,386.486486
Kasikornbank PCL,KBANK.BK,The Stock Exchange of Thailand,Banks (NEC),"Financials, Banks, Diversified Banks",13924219996,0.770551,-2.827763,-13.14794,-7.242903,26.421405
Bank Leumi Le Israel BM,LUMI.TA,Tel Aviv Stock Exchange,Corporate Banks,"Financials, Banks, Diversified Banks",34480755892,1.587441,4.031339,-6.939222,--,41.229936
Bank Hapoalim BM,POLI.TA,Tel Aviv Stock Exchange,Corporate Banks,"Financials, Banks, Diversified Banks",32590734749,1.580532,8.077724,-3.319546,--,49.865281
Lite-On Technology Corp,2301.TW,Taiwan Stock Exchange,Computer Hardware (NEC),"Information Technology, Technology Hardware & Equipment, Technology Hardware, Storage & Peripherals",12130856976,4.307422,2.140673,-11.427148,-12.543607,58.293839
Orlen SA,PKN.WA,Warsaw Stock Exchange,Petroleum Refining,"Energy, Oil, Gas & Consumable Fuels, Oil & Gas Refining & Marketing",39810105515,0.978425,33.59692,30.043276,--,92.705988
Formosa Petrochemical Corp,6505.TW,Taiwan Stock Exchange,Oil & Gas Refining and Marketing (NEC),"Energy, Oil, Gas & Consumable Fuels, Oil & Gas Refining & Marketing",17293317359,1.550212,21.129707,5.039484,3.715465,54.4
Ryanair Holdings PLC,RYA.I,The Irish Stock Exchange,Airlines (NEC),"Industrials, Transportation, Passenger Airlines",30595137100,3.808527,-13.333333,-8.398938,--,25.293542
Gulf Development PCL,GULF.BK,The Stock Exchange of Thailand,Electric Utilities (NEC),"Utilities, Independent Power and Renewable Electricity Producers, Independent Power Producers & Energy Traders",26130779529,2.503526,34.730539,20.421484,17.048892,--
Elbit Systems Ltd,ESLT.TA,Tel Aviv Stock Exchange,Aerospace & Defense (NEC),"Industrials, Capital Goods, Aerospace & Defense",40099172634,12.234533,47.440087,31.891883,--,111.006314
Advanced Info Service PCL,ADVANC.BK,The Stock Exchange of Thailand,Wireless Telecommunications Services (NEC),"Communication Services, Telecommunication Services, Wireless Telecommunication Services",33570837505,10.073551,15.974441,3.657377,1.379036,34.944238
True Corporation PCL,TRUE.BK,The Stock Exchange of Thailand,Wireless Telecommunications Services (NEC),"Communication Services, Telecommunication Services, Diversified Telecommunication Services, Integrated Telecommunication Services",14289270542,--,22.018349,9.059391,6.662316,25.471698
CTBC Financial Holding Co Ltd,2891.TW,Taiwan Stock Exchange,Banks (NEC),"Financials, Banks, Diversified Banks",32634290403,2.161241,2.191235,-11.383302,1.095097,28.25
Malayan Banking Bhd,MBBM.KL,Bursa Malaysia,Banks (NEC),"Financials, Banks, Diversified Banks",34851710541,1.455328,8.015267,6.823752,4.2333,9.902913
Krung Thai Bank PCL,KTB.BK,The Stock Exchange of Thailand,Banks (NEC),"Financials, Banks, Diversified Banks",14912977232,1.031597,21.238938,8.362758,15.730298,48.268398
AIB Group PLC,AIBG.I,The Irish Stock Exchange,Banks (NEC),"Financials, Banks, Diversified Banks",21784663448,1.425349,-2.771739,2.763984,0.382271,34.815373
SCB X PCL,SCB.BK,The Stock Exchange of Thailand,Banks (NEC),"Financials, Banks, Diversified Banks",15076599788,0.978903,3.597122,-7.405409,-1.10994,15.662651
Powszechna Kasa Oszczednosci Bank Polski SA,PKO.WA,Warsaw Stock Exchange,Banks (NEC),"Financials, Banks, Diversified Banks",28883132144,1.848276,1.596994,-1.10546,0.314745,16.887328
OTP Bank Nyrt,OTPB.BU,Budapest Stock Exchange,Banks (NEC),"Financials, Banks, Diversified Banks",28877466106,1.945627,1.168091,-7.741867,--,46.978477
Fubon Financial Holding Co Ltd,2881.TW,Taiwan Stock Exchange,Life Insurance,"Financials, Insurance, Life & Health Insurance",41733082437,1.470399,-8.324662,-20.502324,-9.308003,1.463458
KGHM Polska Miedz SA,KGH.WA,Warsaw Stock Exchange,Copper Ore Mining,"Materials, Metals & Mining, Copper",15094541181,1.823814,0.641026,-2.036,--,113.122172
Airports of Thailand PCL,AOT.BK,The Stock Exchange of Thailand,Airport Operators,"Industrials, Transportation, Transportation Infrastructure, Airport Services",21766147388,5.347661,-7.54717,-17.366122,-1.631289,24.840764
CP All PCL,CPALL.BK,The Stock Exchange of Thailand,Food Retail & Distribution (NEC),"Consumer Staples, Consumer Staples Distribution & Retail, Food Retail",12988626016,3.023817,6.896552,-4.456395,2.729073,-5.583756
TS Financial Holding Co Ltd,2887.TW,Taiwan Stock Exchange,Banks (NEC),"Financials, Banks, Diversified Banks",21963190790,3.335194,21.323529,5.20756,20.022172,41.833811
National Bank of Greece SA,NBGr.AT,Athens Stock Exchange,Banks (NEC),"Financials, Banks, Diversified Banks",13256611802,1.28242,-2.346154,-2.888787,-3.162613,25.817641
King Slide Works Co Ltd,2059.TW,Taiwan Stock Exchange,Computer Hardware (NEC),"Information Technology, Technology Hardware & Equipment, Technology Hardware, Storage & Peripherals",10054387887,11.442058,-10.266667,-22.186363,-24.658698,78.989362
Piraeus Bank SA,BOPr.AT,Athens Stock Exchange,Banks (NEC),"Financials, Banks, Diversified Banks",10300037030,1.098023,7.447748,6.850693,6.549404,54.298905
Next Vision Stabilized Systems Ltd,NXSN.TA,Tel Aviv Stock Exchange,Photographic Equipment,"Information Technology, Technology Hardware & Equipment, Electronic Equipment, Instruments & Components, Electronic Equipment & Instruments",10160838250,16.503172,66.269652,48.735788,--,302.027416
